城市,日期,最高温,最低温,天气,风力风向,空气质量指数
北京,2020-01-01 周三,0°,-9°,晴,东北风1级,53 良
北京,2020-01-02 周四,4°,-8°,多云,西北风1级,74 良
北京,2020-01-03 周五,7°,-5°,晴,西北风1级,72 良
北京,2020-01-04 周六,9°,-5°,晴,东北风1级,59 良
北京,2020-01-05 周日,2°,-3°,阴~小雪,东北风1级,79 良
北京,2020-01-06 周一,3°,-2°,阴~多云,北风1级,78 良
北京,2020-01-07 周二,2°,-4°,阴~晴,西北风2级,24 优
北京,2020-01-08 周三,5°,-6°,晴,西北风2级,27 优
北京,2020-01-09 周四,4°,-7°,晴,东北风1级,48 优
北京,2020-01-10 周五,6°,-4°,晴~多云,西北风2级,46 优
北京,2020-01-11 周六,0°,-7°,阴,东北风2级,22 优
北京,2020-01-12 周日,2°,-6°,多云~晴,东北风1级,30 优
北京,2020-01-13 周一,0°,-8°,晴,西北风3级,21 优
北京,2020-01-14 周二,1°,-9°,晴,东北风2级,26 优
北京,2020-01-15 周三,1°,-7°,多云,西北风1级,69 良
北京,2020-01-16 周四,2°,-7°,多云,东北风1级,69 良
北京,2020-01-17 周五,3°,-7°,阴~晴,西北风1级,90 良
北京,2020-01-18 周六,-2°,-4°,雾~多云,西北风1级,271 重度
北京,2020-01-19 周日,5°,-4°,多云~晴,西北风2级,57 良
北京,2020-01-20 周一,6°,-7°,晴,西北风2级,25 优
北京,2020-01-21 周二,4°,-6°,多云~晴,东北风1级,58 良
北京,2020-01-22 周三,6°,-5°,晴,东北风1级,90 良
北京,2020-01-23 周四,8°,-6°,晴,东北风2级,71 良
北京,2020-01-24 周五,4°,-6°,晴,东南风1级,83 良
北京,2020-01-25 周六,5°,-5°,多云,西北风1级,188 中度
北京,2020-01-26 周日,3°,-4°,阴~多云,东北风1级,197 中度
北京,2020-01-27 周一,5°,-4°,阴,东北风1级,224 重度
北京,2020-01-28 周二,5°,-4°,阴~霾,东北风1级,224 重度
北京,2020-01-29 周三,8°,-6°,多云~晴,西北风1级,104 轻度
北京,2020-01-30 周四,6°,-6°,晴,西南风1级,66 良
北京,2020-01-31 周五,8°,-5°,晴,西北风2级,66 良
北京,2020-02-01 周六,4°,-3°,多云~小雪,东北风2级,21 优
北京,2020-02-02 周日,3°,-7°,小雪~晴,西北风2级,45 优
北京,2020-02-03 周一,3°,-6°,晴,西南风2级,31 优
北京,2020-02-04 周二,2°,-8°,晴~多云,东北风2级,26 优
北京,2020-02-05 周三,-3°,-6°,小雪,东南风2级,37 优
北京,2020-02-06 周四,-3°,-9°,中雪~多云,东南风1级,57 良
北京,2020-02-07 周五,1°,-7°,多云~晴,东北风1级,99 良
北京,2020-02-08 周六,7°,-7°,晴,西北风1级,91 良
北京,2020-02-09 周日,6°,-5°,多云~晴,东北风1级,169 中度
北京,2020-02-10 周一,12°,-5°,雾~晴,东北风1级,173 中度
北京,2020-02-11 周二,10°,-2°,雾,东北风1级,227 重度
北京,2020-02-12 周三,11°,-2°,雾,东北风1级,262 重度
北京,2020-02-13 周四,8°,0°,雾~雨夹雪,东北风2级,260 重度
北京,2020-02-14 周五,0°,-6°,暴雪~阴,东北风2级,87 良
北京,2020-02-15 周六,0°,-4°,中雪~晴,西北风4级,20 优
北京,2020-02-16 周日,3°,-5°,阴~晴,西北风3级,20 优
北京,2020-02-17 周一,6°,-5°,晴,西北风2级,21 优
北京,2020-02-18 周二,10°,-4°,多云~晴,东北风1级,27 优
北京,2020-02-19 周三,8°,-4°,晴~多云,东北风2级,76 良
北京,2020-02-20 周四,4°,-3°,多云~晴,东南风1级,142 轻度
北京,2020-02-21 周五,9°,-2°,多云~晴,西北风2级,128 轻度
北京,2020-02-22 周六,9°,-3°,晴,西北风3级,25 优
北京,2020-02-23 周日,10°,0°,晴~多云,东北风1级,53 良
北京,2020-02-24 周一,9°,3°,阴~小雨,东北风2级,86 良
北京,2020-02-25 周二,9°,-2°,阴~晴,东南风2级,70 良
北京,2020-02-26 周三,8°,-2°,多云~阴,东南风2级,44 优
北京,2020-02-27 周四,5°,-3°,阴~多云,西南风3级,37 优
北京,2020-02-28 周五,8°,0°,晴~多云,西南风1级,81 良
北京,2020-02-29 周六,3°,1°,雨夹雪~小雨,东南风1级,109 轻度
北京,2020-03-01 周日,10°,-3°,雾~晴,西北风2级,41 优
北京,2020-03-02 周一,9°,-1°,阴~雨夹雪,东南风2级,33 优
北京,2020-03-03 周二,8°,-3°,晴,西北风3级,36 优
北京,2020-03-04 周三,7°,-2°,晴,西北风2级,23 优
北京,2020-03-05 周四,9°,-2°,晴,西南风2级,54 良
北京,2020-03-06 周五,10°,1°,晴~小雨,东北风2级,109 轻度
北京,2020-03-07 周六,15°,1°,晴~雾,东北风2级,81 良
北京,2020-03-08 周日,6°,5°,雾~小雨,东北风2级,129 轻度
北京,2020-03-09 周一,11°,-1°,阴~多云,东南风2级,74 良
北京,2020-03-10 周二,11°,-4°,晴,西北风3级,33 优
北京,2020-03-11 周三,16°,1°,晴,东北风1级,44 优
北京,2020-03-12 周四,14°,-2°,多云,东北风3级,43 优
北京,2020-03-13 周五,12°,-1°,晴,西北风3级,30 优
北京,2020-03-14 周六,16°,3°,晴,西北风3级,34 优
北京,2020-03-15 周日,18°,0°,晴,东北风2级,34 优
北京,2020-03-16 周一,12°,3°,晴,东南风2级,57 良
北京,2020-03-17 周二,23°,3°,晴~多云,西北风2级,56 良
北京,2020-03-18 周三,26°,5°,晴,西北风3级,105 轻度
北京,2020-03-19 周四,17°,4°,晴~多云,西北风3级,36 优
北京,2020-03-20 周五,24°,7°,阴~多云,西北风2级,53 良
北京,2020-03-21 周六,17°,3°,多云~晴,东南风2级,66 良
北京,2020-03-22 周日,21°,7°,晴,西南风2级,59 良
北京,2020-03-23 周一,22°,6°,晴~多云,东南风2级,54 良
北京,2020-03-24 周二,18°,5°,阴~多云,东南风2级,67 良
北京,2020-03-25 周三,21°,5°,多云~小雨,东南风2级,155 中度
北京,2020-03-26 周四,12°,2°,小雨~多云,西北风4级,41 优
北京,2020-03-27 周五,13°,-1°,晴,西北风3级,27 优
北京,2020-03-28 周六,14°,2°,晴,西南风2级,30 优
北京,2020-03-29 周日,16°,5°,多云,西南风2级,62 良
北京,2020-03-30 周一,18°,7°,阴~多云,西南风2级,87 良
北京,2020-03-31 周二,19°,7°,阴~多云,东北风2级,87 良
北京,2020-04-01 周三,16°,3°,阴~晴,东北风3级,45 优
北京,2020-04-02 周四,20°,7°,晴,西北风2级,39 优
北京,2020-04-03 周五,24°,9°,晴,西北风2级,42 优
北京,2020-04-04 周六,18°,4°,晴,东南风3级,99 良
北京,2020-04-05 周日,19°,6°,晴,西南风2级,67 良
北京,2020-04-06 周一,23°,9°,多云,东南风2级,85 良
北京,2020-04-07 周二,18°,5°,阴~晴,东南风2级,87 良
北京,2020-04-08 周三,15°,7°,多云~小雨,东南风2级,54 良
北京,2020-04-09 周四,12°,4°,阴~多云,西南风2级,53 良
北京,2020-04-10 周五,17°,6°,晴,西南风1级,58 良
